"timestamp","state","totalCpuPercent","totalPrivateMb","processCount","handleCount","threadCount"
"2026-08-14T00:35:08.4306088+08:00","v4-companion","0","262.28","7","3150","200"
"2026-08-14T00:35:09.3916976+08:00","v4-companion","5.245","261.96","7","3150","200"
"2026-08-14T00:35:10.3572337+08:00","v4-companion","4.549","262.04","7","3150","200"
"2026-08-14T00:35:11.3866166+08:00","v4-companion","4.644","262.04","7","3150","200"
"2026-08-14T00:35:12.4578771+08:00","v4-companion","4.57","262.99","7","3150","200"
"2026-08-14T00:35:13.4649054+08:00","v4-companion","3.976","262.88","7","3150","200"
"2026-08-14T00:35:14.4361466+08:00","v4-companion","7.268","262.88","7","3150","200"
"2026-08-14T00:35:15.4286978+08:00","v4-companion","4.261","262.87","7","3148","199"
"2026-08-14T00:35:16.4539487+08:00","v4-companion","4.856","262.04","7","3148","199"
"2026-08-14T00:35:17.4374223+08:00","v4-companion","3.086","261.99","7","3148","199"
"2026-08-14T00:35:18.4784605+08:00","v4-companion","5.795","262.04","7","3148","199"
"2026-08-14T00:35:19.4590514+08:00","v4-companion","4.194","262.11","7","3148","199"
"2026-08-14T00:35:20.4958876+08:00","v4-companion","4.366","262.63","7","3152","199"
"2026-08-14T00:35:21.5117481+08:00","v4-companion","3.483","263.01","7","3148","200"
"2026-08-14T00:35:22.5242138+08:00","v4-companion","3.157","260.25","7","3152","200"
"2026-08-14T00:35:23.5186194+08:00","v4-companion","3.325","261.23","7","3148","200"
"2026-08-14T00:35:24.5613384+08:00","v4-companion","4.882","260.39","7","3152","200"
"2026-08-14T00:35:25.5482958+08:00","v4-companion","4.351","263.62","7","3148","200"
"2026-08-14T00:35:26.5683405+08:00","v4-companion","6.185","262.33","7","3152","200"
"2026-08-14T00:35:27.5733299+08:00","v4-companion","5.491","262.33","7","3148","200"
